"schid","name","enroll","male_per","frpl_per","sped_per","lep_per","gifted_per","lea_id","id_type","title1_status","title3_program_type","type","poverty_desig","year"
"16","Vidalia",92,0.591763591323978,0.632975391869276,0.119795025723053,0.126240580845624,0.0637407238085263,"0001","Local","NOTTITLE1ELIG","HeritageLanguage","K12School","HighQuartile","2010"
"17","Anderson",686,0.463547142919535,0.587952230574922,0.0589373616982224,0.0542890069492794,0.0227329125780959,"0001","Local","NOTTITLE1ELIG","StructuredEnglishImmersion","K12School","Neither","2010"
"18","Davidson",563,0.498684595908723,0.115836873586522,0.0792428379342993,0.062948212950034,0.265777087455757,"0001","Local","SWELIGNOPROG","ContentBasedESL","K12School","Neither","2010"
"19","Pollock",363,0.455164835782572,0.461853177044669,0.134276023159036,0.0905629886802819,0.297467617465376,"0001","Local","TGELGBTGPROG","ShelteredEnglishInstruction","K12School","HighQuartile","2010"
"20","Northbridge",544,0.387872367217753,0.380828056478276,0.238768286048171,0.00633556120144411,0.300639734201049,"0001","Local","SWELIGNOPROG","SDAIE","EducationOrganizationNetwork","HighQuartile","2010"
"21","Silver Oak",78,0.542348831336533,0.147674281692598,0.0608395383432227,0.0329313898728449,0.280580945556437,"0001","Local","TGELGBNOPROG","ContentBasedESL","K12School","Neither","2010"
"22","Gail Hill",845,0.498023217355008,0.454190823249363,0.0896242161560607,0.0294039681552199,0.00475958557043327,"0001","Local","SWELIGNOPROG","TwoWayImmersion","CharterSchoolManagementOrganization","Neither","2010"
"23","Marshall",76,0.483649578099299,0.118983263010451,0.00870829170458656,0.0195945902180347,0.268687501944994,"0001","Local","NOTTITLE1ELIG","DevelopmentalBilingual","K12School","LowQuartile","2010"
"24","Spinelli",145,0.516358143426935,0.0956185753166434,0.101268755833458,0.000745529407872179,0.246346929248865,"0001","Local","TGELGBTGPROG","DualLanguage","K12School","Neither","2010"
"25","Chiswick",231,0.508761035823535,0.763745571256361,0.138917380131507,0.199127716061527,0.316972804483168,"0001","Local","SWELIGNOPROG","DualLanguage","K12School","Neither","2010"
"26","Kumar",886,0.440293822854317,0.65479887914826,0.0532015007145525,0.179948555366875,0.385551138534748,"0001","Local","SWELIGTGPROG","TwoWayImmersion","K12School","Neither","2010"
"27","Meridian",108,0.542272657731541,0.269385278557453,0.135338439883287,0.0641629641363397,0.245249778813873,"0001","Local","SWELIGTGPROG","PullOutESL","K12School","Neither","2010"
"28","Walker",69,0.423433313533895,0.382696046683814,0.137313135263331,0.100885535415194,0.456967869815994,"0001","Local","NOTTITLE1ELIG","SDAIE","K12School","Neither","2010"
"29","Eureka",144,0.439579456617869,0.308646749138195,0.11096738147746,0.0173921817338797,0.34360374217202,"0001","Local","TGELGBNOPROG","Other","K12School","Neither","2010"
"30","King",1511,0.453711363456142,0.0352967232486691,0.133098881328586,0.0217865601797946,0.165487921999302,"0001","Local","TGELGBNOPROG","TwoWayImmersion","K12School","LowQuartile","2010"
"31","Walnut",110,0.54132878865267,0.349976466672384,0.0295552477772007,0.109533807900734,0.0121112937478317,"0001","Local","SWELIGTGPROG","ShelteredEnglishInstruction","K12School","Neither","2010"
"32","Angelea",54,0.397311229706502,0.909094938067719,0.103693562089304,0.239169275166634,0.0987933715304826,"0001","Local","TGELGBTGPROG","SDAIE","K12School","Neither","2010"
"33","Corcoran",203,0.548009695155697,0.449810805841389,0.0113457160243774,0.119573914582143,0.149780857804101,"0001","Local","SWELIGTGPROG","DualLanguage","K12School","LowQuartile","2010"
"34","Simpson",180,0.42959988229583,0.0639551027022493,0.0801772005827928,0.024328543650902,0.354205277796544,"0001","Local","SWELIGNOPROG","StructuredEnglishImmersion","K12School","Neither","2010"
"35","Cold Springs",108,0.241710658841527,0.279209238440999,0.0508951007506279,0.0895509129710271,0.423794841590284,"0001","Local","SWELIGSWPROG","ShelteredEnglishInstruction","K12School","Neither","2010"
"36","Midlands",197,0.542261279178427,0.40198639572151,0.195430480521489,0.0163923131259863,0.152059179309371,"0001","Local","TGELGBNOPROG","TransitionalBilingual","K12School","HighQuartile","2010"
"37","Burton",528,0.492733254370058,0.207582253129438,0.19370863048662,0.0918829470186029,0.19650569352229,"0001","Local","SWELIGSWPROG","StructuredEnglishImmersion","K12School","Neither","2010"
"38","Olivero",108,0.643388423320507,0.250587173968914,0.0947686926909366,0.134225876361597,0.148109551277131,"0001","Local","TGELGBTGPROG","DevelopmentalBilingual","K12School","Neither","2010"
"39","Unity",102,0.471960702068535,0.0334171225235656,0.0506014945553,0.0908468869025819,0.280056187248117,"0001","Local","SWELIGNOPROG","TwoWayImmersion","K12School","Neither","2010"
"40","Willow Creek",148,0.524199382427537,0.482546796108895,0.035966324730407,0.0550139044935349,0.122171697408982,"0001","Local","SWELIGTGPROG","DevelopmentalBilingual","K12School","HighQuartile","2010"
"41","Elk Grove",193,0.599165807389875,0.780449531671256,0.329197473761881,0.172155004979577,0.0326997661332671,"0001","Local","NOTTITLE1ELIG","DualLanguage","K12School","HighQuartile","2010"
"42","Finch",285,0.51466163834987,0.0748054705942741,0.0710790761731504,0.0671631680921094,0.213290657812728,"0001","Local","NOTTITLE1ELIG","Other","K12School","LowQuartile","2010"
"43","Weston",88,0.506596512216334,0.381782301545126,0.128080222533396,0.144195281645516,0.191359529171321,"0001","Local","NOTTITLE1ELIG","SDAIE","K12School","Neither","2010"
"44","Crossroads",268,0.433697496042171,0.163650108548964,0.147256074465748,0.118574441457167,0.213732045427905,"0001","Local","SWELIGTGPROG","TwoWayImmersion","CharterSchoolManagementOrganization","Neither","2010"
"45","Touchstone",251,0.425684040791943,0.162713423559622,0.0183118257327265,0.0581587006036978,0.188908655741879,"0001","Local","NOTTITLE1ELIG","ContentBasedESL","K12School","HighQuartile","2010"
"46","Carter ",61,0.582790668685776,0.25784753501243,0.105439096052742,0.0385878223248671,0.571153797499111,"0001","Local","SWELIGTGPROG","HeritageLanguage","K12School","Neither","2010"
"47","Eastbourne",266,0.416697410986023,0.657347146919213,0.0948669340727918,0.242654927015755,0.113316795333399,"0001","Local","TGELGBTGPROG","StructuredEnglishImmersion","K12School","Neither","2010"
"48","Wilson",1854,0.632892168092913,0.4164226804194,0.272365860295857,0.110039545802222,0.00402093389179316,"0001","Local","SWELIGSWPROG","Other","K12School","HighQuartile","2010"
"49","Clark",274,0.457858773269353,0.696553568684006,0.244582941054353,0.140944697075756,0.275661138217934,"0001","Local","NOTTITLE1ELIG","PullOutESL","K12School","LowQuartile","2010"
"50","Warren",135,0.628251162113159,0.137694412297954,0.2297347888205,0.0895480321557261,0.21069284604235,"0001","Local","TGELGBNOPROG","ShelteredEnglishInstruction","K12School","Neither","2010"
"51","Dover Hills",235,0.506401282398862,0.355494583533912,0.231593971194045,0.236431042335187,0.011316206375016,"0001","Local","SWELIGNOPROG","PullOutESL","K12School","HighQuartile","2010"
"52","Leeds",111,0.523383779829875,0.441993336285856,0.198617375172324,0.13076972532901,0.123582467514645,"0001","Local","SWELIGTGPROG","TransitionalBilingual","K12School","LowQuartile","2010"
"53","Verndale",87,0.50260844037381,0.33539321028874,0.0435195422166729,0.213223433192681,0.241549126792396,"0001","Local","TGELGBTGPROG","StructuredEnglishImmersion","K12School","LowQuartile","2010"
"54","Douglass",97,0.492842081022722,0.230291782096861,0.0878673689477456,0.0859132659912575,0.223856276225249,"0001","Local","NOTTITLE1ELIG","DevelopmentalBilingual","K12School","Neither","2010"
"55","Wright",153,0.595117530309698,0.992721378943644,0.108558386673782,0.0555497476242627,0.0570937634888105,"0001","Local","TGELGBNOPROG","DevelopmentalBilingual","K12School","Neither","2010"
"56","Basswood",342,0.517269792228024,0.451333757668038,0.101370497622671,0.030433079956415,0.401192136592823,"0001","Local","TGELGBTGPROG","DualLanguage","K12School","Neither","2010"
"57","Camino",114,0.529672127956514,0.347777257261213,0.170698894987645,0.127392812736797,0.201678271615115,"0001","Local","TGELGBTGPROG","Other","K12School","HighQuartile","2010"
"58","Southbridge",1780,0.667750437427027,0.427027860970043,0.147225632646495,0.136845052057179,0.0247806835255766,"0001","Local","TGELGBNOPROG","ShelteredEnglishInstruction","K12School","HighQuartile","2010"
"59","East Harley",110,0.474556344972535,0.917623439019517,0.0832112070391558,0.181640521329626,0.0255361746647395,"0001","Local","SWELIGNOPROG","HeritageLanguage","K12School","Neither","2010"
"60","Cherry Hill",170,0.50721167635882,0.997275084114851,0.00941582978305028,0.0536157860886306,0.0994593641813844,"0001","Local","SWELIGNOPROG","PullOutESL","K12School","Neither","2010"
"61","Pompano",238,0.478103855507115,0.367201241724077,0.0495748408931373,0.212734861227255,0.0567988227913001,"0001","Local","SWELIGNOPROG","TwoWayImmersion","K12School","HighQuartile","2010"
"62","Forest Heights",211,0.388598880332536,0.342972091836096,0.0764614052661881,0.000398149519436541,0.217212589628221,"0001","Local","NOTTITLE1ELIG","ShelteredEnglishInstruction","K12School","LowQuartile","2010"
"63","Duncan",1294,0.420599667930822,0.911110350543844,0.0824932420949253,0.332136688722636,0.274183897702261,"0001","Local","SWELIGTGPROG","TransitionalBilingual","K12School","LowQuartile","2010"
"64","George",318,0.604904788500089,0.148833834056252,0.125845130716028,0.151653314161004,0.385346850774144,"0001","Local","NOTTITLE1ELIG","PullOutESL","K12School","HighQuartile","2010"
"65","Deer Corner",542,0.498882547001381,0.205343781373967,0.0132822400400862,0.110112581002548,0.128948751783651,"0001","Local","TGELGBNOPROG","TransitionalBilingual","K12School","Neither","2010"
"66","Phoenix",592,0.603503567057854,0.355249666517563,0.228816825020072,0.0330144667279502,0.328479925515525,"0001","Local","NOTTITLE1ELIG","SDAIE","K12School","Neither","2010"
"67","Avocet",272,0.463243034972119,0.401136435678558,0.121578245635717,0.226134558536755,0.254482398554497,"0001","Local","TGELGBNOPROG","SDAIE","K12School","LowQuartile","2010"
"68","Nyquist",132,0.596800379286695,0.759645431362512,0.215342563297044,0.121703895372198,0.225010877773783,"0001","Local","TGELGBTGPROG","HeritageLanguage","K12School","HighQuartile","2010"
"69","Ashmont",185,0.646676089692733,0.82664680532295,0.150578732787209,0.0694057707806128,0.0338516975155672,"0001","Local","NOTTITLE1ELIG","TwoWayImmersion","K12School","Neither","2010"
"70","Perez",114,0.646336404510424,0.510532893833579,0.307923607275677,0.0464759138816768,0.165916952518166,"0001","Local","SWELIGTGPROG","Other","K12School","LowQuartile","2010"
"71","Rhodes",218,0.522269169566004,0.366821552398675,0.0116082241072445,0.012020982501514,0.377651501460333,"0001","Local","TGELGBNOPROG","DevelopmentalBilingual","K12School","LowQuartile","2010"
"72","Truman",196,0.500616783562362,0.596063335407351,0.279673165983614,0.199474553856135,0.0938367528829258,"0001","Local","SWELIGSWPROG","ContentBasedESL","K12School","HighQuartile","2010"
"73","Chestnut",211,0.570825980278098,0.145813216192182,0.0128018508331021,0.115199603055705,0.410598456309565,"0001","Local","SWELIGNOPROG","SDAIE","K12School","LowQuartile","2010"
"74","Marvel",216,0.703249763282022,0.704116290529534,0.278876954200886,0.00560207503446333,0.068550860785436,"0001","Local","TGELGBNOPROG","Other","EducationOrganizationNetwork","HighQuartile","2010"
"75","Castle Rock",789,0.536463105718188,0.323461444268315,0.0280230569185153,0.0479670761367488,0.225780633048608,"0001","Local","TGELGBNOPROG","ContentBasedESL","K12School","LowQuartile","2010"
"76","Lookout Point",147,0.482568672202687,0.882988865226507,0.12678011345797,0.33009502859573,0.164671974089093,"0001","Local","SWELIGNOPROG","StructuredEnglishImmersion","K12School","LowQuartile","2010"
"77","Briarfield",356,0.507130494900657,0.388351236486546,0.0315250210163126,0.00961687912529465,0.210074739358723,"0001","Local","SWELIGNOPROG","PullOutESL","K12School","Neither","2010"
"78","Kirkland",214,0.551867021252205,0.424604524612172,0.103850958975919,0.0706578955720214,0.0672798462069774,"0001","Local","SWELIGTGPROG","Other","K12School","HighQuartile","2010"
"79","Beckham",715,0.464114689426618,0.229214665404693,0.0927094709299152,0.0015014029734448,0.273370683351026,"0001","Local","SWELIGSWPROG","HeritageLanguage","K12School","LowQuartile","2010"
"80","Floral",94,0.552850493640057,0.440841555468861,0.308797537881702,0.0222524049649452,0.0367537787072571,"0001","Local","NOTTITLE1ELIG","ShelteredEnglishInstruction","K12School","LowQuartile","2010"
"81","Reyes",175,0.48159169866874,0.166047089675166,0.0441991229424705,0.0288055822106316,0.277371975237714,"0001","Local","SWELIGNOPROG","ContentBasedESL","K12School","LowQuartile","2010"
"82","Marlowe",64,0.588170857802886,0.578897293995718,0.154543256828438,0.343850811302679,0.110333021960131,"0001","Local","SWELIGTGPROG","Other","K12School","Neither","2010"
"83","Alonzo",158,0.515807194062877,0.703525347450063,0.156823201315674,0.0205438024799709,0.165823171120656,"0001","Local","TGELGBNOPROG","StructuredEnglishImmersion","K12School","Neither","2010"
"84","Gallant",112,0.425429043598353,0.0982146095333053,0.153914412270985,0.0614742325001862,0.339969763217301,"0001","Local","TGELGBTGPROG","HeritageLanguage","K12School","LowQuartile","2010"
"85","Laughlin",886,0.640263455019306,0.223741580098708,0.177697935927081,0.0117854667548629,0.0717102267919014,"0001","Local","TGELGBTGPROG","ShelteredEnglishInstruction","K12School","Neither","2010"
